TextID,EN,ES,DE,FR,AlarmCode,AlarmSeverity,AlarmVar
Inks.Alarm.inks.Al.xAlrStopRecircNoInk_B03,xAlrStopRecircNoInk_B03,xAlrStopRecircNoInk_B03,NoValue,NoValue,10314,1,gInks[3].Al.xAlrStopRecircNoInk
Inks.Alarm.inks.Al.xAlrBrokenMeniscus_B03,xAlrBrokenMeniscus_B03,xAlrBrokenMeniscus_B03,NoValue,NoValue,10315,1,gInks[3].Al.xAlrBrokenMeniscus
Inks.Alarm.inks.Al.xAlrLevelSensorError_B03,xAlrLevelSensorError_B03,xAlrLevelSensorError_B03,NoValue,NoValue,10316,1,gInks[3].Al.xAlrLevelSensorError
Inks.Alarm.inks.Al.xAlrTankEmpty_B03,xAlrTankEmpty_B03,xAlrTankEmpty_B03,NoValue,NoValue,10317,1,gInks[3].Al.xAlrTankEmpty
Inks.Alarm.inks.Al.xAlrTankToFillIn_B03,xAlrTankToFillIn_B03,xAlrTankToFillIn_B03,NoValue,NoValue,10318,2,gInks[3].Al.xAlrTankToFillIn
Inks.Alarm.inks.Al.xAlrPumpsDCError_B03,xAlrPumpsDCError_B03,xAlrPumpsDCError_B03,NoValue,NoValue,10319,1,gInks[3].Al.xAlrPumpsDCError
Inks.Alarm.inks.Al.xAlrKlixonTriggered_B03,xAlrKlixonTriggered_B03,xAlrKlixonTriggered_B03,NoValue,NoValue,10320,2,gInks[3].Al.xAlrKlixonTriggered
Inks.Alarm.inks.Al.xAlrPrintHeadPsuFailure_B03,xAlrTankEmpty_B03,xAlrTankEmpty_B03,NoValue,NoValue,10321,2,gInks[3].Al.xAlrPrintHeadPsuFailure
,,,,,,,
,,,,,,,
Inks.Alarm.DigSensError_B04,Inks.Alarm.DigSensError_B04,Inks.Alarm.DigSensError_B04,NoValue,NoValue,10401,1,gInks[4].Al.xAlrTankDigitalSensorsError
Inks.Alarm.xAlrVacuum1_B04,xAlrVacuum1_B04,xAlrVacuum1_B04,NoValue,NoValue,10402,1,gInks[4].Al.xAlrVacuum1
Inks.Alarm.xAlrVacuum2_B04,xAlrVacuum2_B04,xAlrVacuum2_B04,NoValue,NoValue,10403,1,gInks[4].Al.xAlrVacuum2
Inks.Alarm.inks.Al.xAlrVacuumSensor1_B04,xAlrVacuumSensor1_B04,xAlrVacuumSensor1_B04,NoValue,NoValue,10404,1,gInks[4].Al.xAlrVacuumSensor1
Inks.Alarm.inks.Al.xAlrVacuumSensor2_B04,xAlrVacuumSensor2_B04,xAlrVacuumSensor2_B04,NoValue,NoValue,10405,1,gInks[4].Al.xAlrVacuumSensor2
Inks.Alarm.inks.Al.xAlrDiffVacuum_B04,xAlrDiffVacuum_B04,xAlrDiffVacuum_B04,NoValue,NoValue,10406,1,gInks[4].Al.xAlrDiffVacuum
Inks.Alarm.inks.Al.xAlrIncoherTempHeat_B04,xAlrIncoherTempHeat_B04,xAlrIncoherTempHeat_B04,NoValue,NoValue,10407,1,gInks[4].Al.xAlrIncoherTempHeat
Inks.Alarm.inks.Al.xAlrHeaterReachsMaxTemp_B04,xAlrHeaterReachsMaxTemp_B04,xAlrHeaterReachsMaxTemp_B04,NoValue,NoValue,10408,2,gInks[4].Al.xAlrHeaterReachsMaxTemp
Inks.Alarm.inks.Al.xAlrTempSensor_B04,xAlrTempSensor_B04,xAlrTempSensor_B04,NoValue,NoValue,10409,1,gInks[4].Al.xAlrTempSensor
Inks.Alarm.inks.Al.xAlrDiffInCtrlTemp_B04,xAlrDiffInCtrlTemp_B04,xAlrDiffInCtrlTemp_B04,NoValue,NoValue,10410,2,gInks[4].Al.xAlrDiffInCtrlTemp
Inks.Alarm.inks.Al.xAlrDifCtrlTempExcessive_B04,xAlrDifCtrlTempExcessive_B04,xAlrDifCtrlTempExcessive_B04,NoValue,NoValue,10411,1,gInks[4].Al.xAlrDifCtrlTempExcessive
Inks.Alarm.inks.Al.xAlrHeaterOutFault_B04,xAlrHeaterOutFault_B04,xAlrHeaterOutFault_B04,NoValue,NoValue,10412,1,gInks[4].Al.xAlrHeaterOutFault
Inks.Alarm.inks.Al.xAlrOverPressure_B04,xAlrOverPressure_B04,xAlrOverPressure_B04,NoValue,NoValue,10413,1,gInks[4].Al.xAlrOverPressure
Inks.Alarm.inks.Al.xAlrStopRecircNoInk_B04,xAlrStopRecircNoInk_B04,xAlrStopRecircNoInk_B04,NoValue,NoValue,10414,1,gInks[4].Al.xAlrStopRecircNoInk
Inks.Alarm.inks.Al.xAlrBrokenMeniscus_B04,xAlrBrokenMeniscus_B04,xAlrBrokenMeniscus_B04,NoValue,NoValue,10415,1,gInks[4].Al.xAlrBrokenMeniscus
Inks.Alarm.inks.Al.xAlrLevelSensorError_B04,xAlrLevelSensorError_B04,xAlrLevelSensorError_B04,NoValue,NoValue,10416,1,gInks[4].Al.xAlrLevelSensorError
Inks.Alarm.inks.Al.xAlrTankEmpty_B04,xAlrTankEmpty_B04,xAlrTankEmpty_B04,NoValue,NoValue,10417,1,gInks[4].Al.xAlrTankEmpty
Inks.Alarm.inks.Al.xAlrTankToFillIn_B04,xAlrTankToFillIn_B04,xAlrTankToFillIn_B04,NoValue,NoValue,10418,2,gInks[4].Al.xAlrTankToFillIn
Inks.Alarm.inks.Al.xAlrPumpsDCError_B04,xAlrPumpsDCError_B04,xAlrPumpsDCError_B04,NoValue,NoValue,10419,1,gInks[4].Al.xAlrPumpsDCError
Inks.Alarm.inks.Al.xAlrKlixonTriggered_B04,xAlrKlixonTriggered_B04,xAlrKlixonTriggered_B04,NoValue,NoValue,10420,2,gInks[4].Al.xAlrKlixonTriggered
Inks.Alarm.inks.Al.xAlrPrintHeadPsuFailure_B04,xAlrTankEmpty_B04,xAlrTankEmpty_B04,NoValue,NoValue,10421,2,gInks[4].Al.xAlrPrintHeadPsuFailure
,,,,,,,
,,,,,,,
,,,,,,,
Inks.Start,Start,Arrancar,NoValue,NoValue,,,
Inks.Lab,Laboratory,Laboratorio,NoValue,NoValue,,,
Inks.ByPass,ByPass,ByPass,NoValue,NoValue,,,
Inks.Stop,Stop,Parar,NoValue,NoValue,,,
Inks.Manual,Manual,Manual,NoValue,NoValue,,,
Inks.Auto,Auto,Auto,NoValue,NoValue,,,
Inks.Zero,Zero,Cero,NoValue,NoValue,,,
Inks.Reset,Reset,Reset,NoValue,NoValue,,,
Inks.Versions,Versions,Versiones,NoValue,NoValue,,,
Inks.Hardware,Hardware,Hardware,NoValue,NoValue,,,
Inks.Interface,Interface,Interfaz,NoValue,NoValue,,,
Inks.Software,Software,Software,NoValue,NoValue,,,
Inks.HMI,HMI,Terminal,NoValue,NoValue,,,
Inks.Thickness,Thickness,Espesor,NoValue,NoValue,,,
Inks.Margin,Margin,Margen,NoValue,NoValue,,,
Inks.Length,Length,Longitud,NoValue,NoValue,,,
Inks.Width,Width,Ancho,NoValue,NoValue,,,
Inks.Gap,Gap,Separacion,NoValue,NoValue,,,
Inks.AirConditions,Air Conditions,Estado aire,NoValue,NoValue,,,
Inks.Pressure,Pressure,Presion,NoValue,NoValue,,,
Inks.DutyCycle,Duty Cycle,Ciclo Trabajo,NoValue,NoValue,,,
Inks.Position,Position,Posicion,NoValue,NoValue,,,
