TextID,EN,ES,DE,FR,AlarmCode,AlarmSeverity,AlarmVar
Dryer.Alarm.JamOutputNIR1,Jam Output NIR 1,Atasco Frontal NIR 2,NoValue,NoValue,60052,1,gJamDetect[1].Alarms.xAlrJamCrash[2]
,,,,,,,
Dryer.Alarm.JamInputNIR2,Jam Input NIR 2,Atasco Delantero NIR 1,NoValue,NoValue,60061,1,gJamDetect[1].Alarms.xAlrJamCrash[3]
Dryer.Alarm.JamOutputNIR2,Jam Output NIR 2,Atasco Delantero NIR 2,NoValue,NoValue,60062,1,gJamDetect[1].Alarms.xAlrJamCrash[4]
,,,,,,,
Dryer.Alarm.JamRearNIR1,Jam Rear NIR 1,Atasco Trasero NIR 1,NoValue,NoValue,60071,1,gNirAdphos.Alarms.Jam[1].xRear
Dryer.Alarm.JamRearNIR2,Jam Rear NIR 2,Atasco Trasero NIR 2,NoValue,NoValue,60072,1,gNirAdphos.Alarms.Jam[2].xRear
,,,,,,,
Dryer.Alarm.JamMechCrossNIR1,Jam Mech Cross NIR 1,Atasco Frontal Meanico NIR 1,NoValue,NoValue,60081,1,gNirAdphos.Alarms.Jam[1].xMechCross
Dryer.Alarm.JamMechCrossNIR2,Jam Mech Cross NIR 2,Atasco Frontal Meanico NIR 2,NoValue,NoValue,60082,1,gNirAdphos.Alarms.Jam[2].xMechCross
,,,,,,,
Dryer.Alarm.NIRSurfaceTemp1,Max Surface Temp NIR 1,Maxima Temp superficie NIR 1,NoValue,NoValue,60101,2,gNirAdphos.Alarms.xMaxSurfaceTempModule[1]
Dryer.Alarm.NIRSurfaceTemp2,Max Surface Temp NIR 2,Maxima Temp superficie NIR 2,NoValue,NoValue,60102,2,gNirAdphos.Alarms.xMaxSurfaceTempModule[2]
,,,,,,,
Dryer.Alarm.NIRSurfaceTempSensErr1,Surface Temp Sensor error NIR 1,Error Sensor Temp superficie NIR 1,NoValue,NoValue,60111,2,gNirAdphos.Alarms.xSurfaceTempModuleSensorError[1]
Dryer.Alarm.NIRSurfaceTempSensErr2,Surface Temp Sensor error NIR 2,Error Sensor Temp superficie NIR 2,NoValue,NoValue,60112,2,gNirAdphos.Alarms.xSurfaceTempModuleSensorError[2]
,,,,,,,
Dryer.Alarm.BlockedFan1Nir1,Blocked Fan 1 NIR 1,Bloque Ventilador 1 NIR 1,NoValue,NoValue,60201,2,gNirAdphos.Alarms.BlockedFansModule[1].Fan[1]
Dryer.Alarm.BlockedFan2Nir1,Blocked Fan 2 NIR 1,Bloque Ventilador 2 NIR 1,NoValue,NoValue,60202,2,gNirAdphos.Alarms.BlockedFansModule[1].Fan[2]
Dryer.Alarm.BlockedFan3Nir1,Blocked Fan 3 NIR 1,Bloque Ventilador 3 NIR 1,NoValue,NoValue,60203,2,gNirAdphos.Alarms.BlockedFansModule[1].Fan[3]
Dryer.Alarm.BlockedFan4Nir1,Blocked Fan 4 NIR 1,Bloque Ventilador 4 NIR 1,NoValue,NoValue,60204,2,gNirAdphos.Alarms.BlockedFansModule[1].Fan[4]
,,,,,,,
Dryer.Alarm.BlockedFan1Nir2,Blocked Fan 1 NIR 2,Bloque Ventilador 1 NIR 2,NoValue,NoValue,60211,2,gNirAdphos.Alarms.BlockedFansModule[2].Fan[2]
Dryer.Alarm.BlockedFan2Nir2,Blocked Fan 2 NIR 2,Bloque Ventilador 2 NIR 2,NoValue,NoValue,60212,2,gNirAdphos.Alarms.BlockedFansModule[2].Fan[2]
Dryer.Alarm.BlockedFan3Nir2,Blocked Fan 3 NIR 2,Bloque Ventilador 3 NIR 2,NoValue,NoValue,60213,2,gNirAdphos.Alarms.BlockedFansModule[2].Fan[3]
Dryer.Alarm.BlockedFan4Nir2,Blocked Fan 4 NIR 2,Bloque Ventilador 4 NIR 2,NoValue,NoValue,60214,2,gNirAdphos.Alarms.BlockedFansModule[2].Fan[4]
,,,,,,,
,,,,,,,
Dryer.Alarm.ArcLampComsError,ArcLamp Comms Error,Fallo comunicacion ArcLamp,NoValue,NoValue,70001,1,gArcLampGew.Alarms.xCommsError
Dryer.Alarm.ArcLampCredentialsError,ArcLamp Credentials Error,Fallo Credenciales ArcLamp,NoValue,NoValue,70002,1,gArcLampGew.Alarms.Comms.xCredentialsError
Dryer.Alarm.ArcLampInternalError,ArcLamp Internal Server Error,Fallo Interno Servidor ArcLamp,NoValue,NoValue,70003,1,gArcLampGew.Alarms.Comms.xServerError
Dryer.Alarm.ArcLampJam,ArcLamp Jam,Atasco ArcLamp,NoValue,NoValue,70004,1,gArcLampGew.Alarms.xJam
,,,,,,,
Dryer.Alarm.ArcLampAlarmLamp1,ArcLamp Alarm Lamp 1,ArcLamp Fallo Lampara 1,NoValue,NoValue,70051,1,gArcLampGew.Status.Lamps[1].InAlarm
Dryer.Alarm.ArcLampAlarmLamp2,ArcLamp Alarm Lamp 2,ArcLamp Fallo Lampara 2,NoValue,NoValue,70052,1,gArcLampGew.Status.Lamps[2].InAlarm
,,,,,,,
Dryer.Alarm.CheckMediaExit1,Not detected exit media L1,Pieza no detectada a la salida L1,NoValue,NoValue,80001,1,gThicknessCtrl.Alarms.CheckMedia[1]
